th_1 end
th_4 end
th_2 end
th_3 end
 A i=346, c=940, m=2
 A i=347, c=300, m=10
 A i=348, c=2378, m=2
 A i=349, c=1053, m=2
 A i=350, c=3797, m=2
 A i=351, c=164, m=30
 A i=352, c=1893, m=1
 A i=353, c=438, m=6
 A i=354, c=1741, m=2
 A i=355, c=828, m=2
 A i=356, c=1268, m=1
 A i=357, c=245, m=24
 A i=358, c=172, m=28
 A i=359, c=341, m=6
 A i=360, c=497, m=4
 A i=361, c=9026, m=2
 A i=362, c=290, m=12
 A i=363, c=243, m=14
 A i=364, c=241, m=14
 A i=365, c=429, m=12
 A i=366, c=212, m=16
 A i=367, c=384, m=10
 A i=368, c=807, m=2
 A i=369, c=2554, m=1
 A i=370, c=2555, m=1
 A i=371, c=262, m=12
 A i=372, c=207, m=22
 A i=373, c=280, m=14
 A i=374, c=321, m=10
 A i=375, c=377, m=6
 A i=376, c=675, m=3
 A i=377, c=104, m=106
 A i=378, c=299, m=10
 A i=379, c=1770, m=2
 A i=380, c=231, m=22
 A i=381, c=745, m=4
 A i=382, c=1023, m=2
 A i=383, c=1131, m=4
 A i=384, c=183, m=26
 A i=385, c=1350, m=2
 A i=386, c=187, m=26
 A i=387, c=403, m=8
 A i=388, c=285, m=12
 A i=389, c=340, m=8
 A i=390, c=208, m=20
 A i=391, c=397, m=10
 A i=392, c=1980, m=2
 A i=393, c=644, m=6
 A i=394, c=527, m=6
 A i=395, c=626, m=6
 A i=396, c=364, m=10
 A i=397, c=277, m=10
 A i=398, c=1857, m=2
 A i=399, c=1552, m=2
 A i=400, c=8284, m=2
 A i=401, c=145, m=52
 A i=402, c=317, m=10
 A i=403, c=1679, m=4
 A i=404, c=339, m=14
 A i=405, c=840, m=4
 A i=406, c=515, m=10
 A i=407, c=648, m=2
 A i=408, c=2156, m=2
 A i=409, c=1260, m=1
 A i=410, c=1672, m=2
 A i=411, c=1026, m=1
 A i=412, c=1157, m=2
 A i=413, c=826, m=4
 A i=414, c=220, m=14
 A i=415, c=320, m=4
 A i=416, c=284, m=14
 A i=417, c=740, m=4
 A i=418, c=138, m=40
 A i=419, c=875, m=4
 A i=420, c=2121, m=2
 A i=421, c=289, m=8
 A i=422, c=295, m=18
 A i=423, c=176, m=28
 A i=424, c=702, m=1
 A i=425, c=601, m=8
 A i=426, c=646, m=7
 A i=427, c=442, m=4
 A i=428, c=514, m=3
 A i=429, c=253, m=6
 A i=430, c=1699, m=4
 A i=431, c=415, m=6
 A i=432, c=446, m=4
 A i=433, c=374, m=8
 A i=434, c=2891, m=2
 A i=435, c=1563, m=4
 A i=436, c=464, m=12
 A i=437, c=161, m=30
 A i=438, c=951, m=4
 A i=439, c=298, m=12
 A i=440, c=475, m=8
 A i=441, c=440, m=10
 A i=442, c=427, m=6
 A i=443, c=469, m=4
 A i=444, c=393, m=10
 A i=445, c=2440, m=1
 A i=446, c=2001, m=1
 A i=447, c=376, m=4
 A i=448, c=132, m=62
 A i=449, c=454, m=8
 A i=450, c=617, m=3
 A i=451, c=424, m=4
 A i=452, c=643, m=8
 A i=453, c=1104, m=4
 A i=454, c=411, m=6
 A i=455, c=516, m=6
 A i=456, c=273, m=12
 A i=457, c=2038, m=2
 A i=458, c=334, m=8
 A i=459, c=256, m=8
 A i=460, c=354, m=6
 A i=461, c=1748, m=2
 A i=462, c=371, m=3
 A i=463, c=1413, m=2
 A i=464, c=382, m=10
 A i=465, c=1185, m=2
 A i=466, c=5030, m=2
 A i=467, c=188, m=14
 A i=468, c=1129, m=2
 A i=469, c=743, m=2
 A i=470, c=7051, m=2
 A i=471, c=418, m=10
 A i=472, c=2261, m=2
 A i=473, c=265, m=10
 A i=474, c=550, m=6
 A i=475, c=244, m=20
 A i=476, c=902, m=2
 A i=477, c=105, m=64
 A i=478, c=356, m=8
 A i=479, c=336, m=8
 A i=480, c=368, m=10
 A i=481, c=1197, m=2
 A i=482, c=7589, m=2
 A i=483, c=1209, m=2
 A i=484, c=814, m=2
 A i=485, c=1212, m=3
 A i=486, c=757, m=2
 A i=487, c=242, m=22
 A i=488, c=7918, m=1
 A i=489, c=254, m=12
 A i=490, c=2209, m=2
 A i=491, c=916, m=2
 A i=492, c=500, m=2
 A i=493, c=308, m=6
 A i=494, c=650, m=2
 A i=495, c=250, m=16
 A i=496, c=343, m=8
 A i=497, c=465, m=4
 A i=498, c=294, m=6
 A i=499, c=1752, m=2
 A i=500, c=413, m=2
 A i=501, c=423, m=15
 A i=502, c=4565, m=2
 A i=503, c=276, m=9
 A i=504, c=319, m=12
 A i=505, c=398, m=6
 A i=506, c=477, m=4
 A i=507, c=2775, m=2
 A i=508, c=931, m=6
 A i=509, c=1328, m=1
 A i=510, c=1327, m=1
 A i=511, c=7013, m=2
 A i=512, c=683, m=6
 A i=513, c=310, m=4
 A i=514, c=517, m=4
 A i=515, c=1047, m=1
 A i=516, c=1036, m=1
 A i=517, c=538, m=6
 A i=518, c=1633, m=2
 A i=519, c=437, m=4
 A i=520, c=367, m=8
 A i=521, c=383, m=4
 A i=522, c=588, m=4
 A i=523, c=618, m=7
 A i=524, c=452, m=4
 A i=525, c=510, m=8
 A i=526, c=575, m=4
 A i=527, c=282, m=8
 A i=528, c=738, m=2
 A i=529, c=1602, m=2
 A i=530, c=1015, m=4
 A i=531, c=542, m=2
 A i=532, c=2503, m=2
 A i=533, c=257, m=12
 A i=534, c=9300, m=2
 A i=535, c=2426, m=2
 A i=536, c=513, m=2
 A i=537, c=130, m=38
 A i=538, c=1489, m=2
 A i=539, c=390, m=8
 A i=540, c=790, m=2
 A i=541, c=1608, m=2
 A i=542, c=447, m=4
 A i=543, c=8022, m=2
 A i=544, c=998, m=4
 A i=545, c=1459, m=3
 A i=546, c=2507, m=2
 A i=547, c=224, m=16
 A i=548, c=1126, m=2
 A i=549, c=449, m=5
 A i=550, c=539, m=2
 A i=551, c=1045, m=1
 A i=552, c=1180, m=1
 A i=553, c=263, m=12
 A i=554, c=444, m=4
 A i=555, c=394, m=4
 A i=556, c=332, m=4
 A i=557, c=1451, m=2
 A i=558, c=431, m=6
 A i=559, c=305, m=8
